subfolder,candidate_file,mcc_norm,energy
13,structure_81.bpseq,0.463314,-31.482100
13,structure_90.bpseq,0.407016,-35.763200
14,structure_23.bpseq,0.408468,-21.487370
14,structure_28.bpseq,0.608795,-21.826090
14,structure_3.bpseq,0.473703,-16.718600
14,structure_43.bpseq,0.498086,-18.304990
14,structure_45.bpseq,0.479990,-27.392179
14,structure_50.bpseq,0.475612,-19.850440
14,structure_57.bpseq,0.556724,-27.047969
14,structure_65.bpseq,0.425773,-25.961860
14,structure_76.bpseq,0.366805,-29.207590
14,structure_82.bpseq,0.423243,-31.424200
15,structure_15.bpseq,0.505793,-22.212110
15,structure_45.bpseq,0.452964,-22.732330
15,structure_57.bpseq,0.563876,-28.076100
15,structure_7.bpseq,0.559254,-15.867440
15,structure_72.bpseq,0.463560,-20.159420
15,structure_74.bpseq,0.501793,-26.864010
15,structure_77.bpseq,0.367137,-25.795730
15,structure_83.bpseq,0.409438,-26.373160
15,structure_89.bpseq,0.368804,-29.665200
15,structure_93.bpseq,0.361385,-32.171500
16,structure_12.bpseq,0.588604,-26.002020
16,structure_20.bpseq,0.731822,-23.992700
16,structure_3.bpseq,0.677596,-18.793600
16,structure_31.bpseq,0.658921,-19.359500
16,structure_40.bpseq,0.350026,-24.334930
16,structure_49.bpseq,0.496954,-25.316300
16,structure_73.bpseq,0.518430,-32.044316
16,structure_76.bpseq,0.328398,-27.310930
16,structure_81.bpseq,0.396066,-35.279480
16,structure_86.bpseq,0.494672,-37.364150
17,structure_1.bpseq,0.684430,-10.630600
17,structure_12.bpseq,0.636574,-17.040150
17,structure_47.bpseq,0.478476,-23.802784
17,structure_50.bpseq,0.603940,-21.102410
17,structure_60.bpseq,0.478283,-27.309600
17,structure_62.bpseq,0.535668,-27.108290
17,structure_64.bpseq,0.520466,-23.194297
17,structure_71.bpseq,0.477216,-25.091750
17,structure_74.bpseq,0.355259,-30.929620
17,structure_9.bpseq,0.607732,-16.974950
18,structure_23.bpseq,0.461465,-24.168820
18,structure_35.bpseq,0.505533,-22.275650
18,structure_43.bpseq,0.446106,-26.480920
18,structure_45.bpseq,0.434203,-19.359280
18,structure_52.bpseq,0.449862,-20.071450
18,structure_57.bpseq,0.316280,-19.051920
18,structure_62.bpseq,0.445231,-24.132300
18,structure_65.bpseq,0.456591,-26.841670
18,structure_73.bpseq,0.458898,-23.154860
18,structure_80.bpseq,0.688551,-23.794540
19,structure_25.bpseq,0.553766,-23.586680
19,structure_35.bpseq,0.678307,-23.446910
19,structure_40.bpseq,0.544965,-22.460830
19,structure_42.bpseq,0.598150,-22.418030
19,structure_45.bpseq,0.643465,-17.382170
19,structure_51.bpseq,0.469739,-23.367610
19,structure_65.bpseq,0.619820,-23.499940
19,structure_77.bpseq,0.571558,-23.951160
19,structure_80.bpseq,0.573752,-23.816430
19,structure_90.bpseq,0.716961,-21.458940
20,structure_100.bpseq,0.235541,-31.753940
20,structure_23.bpseq,0.737719,-21.065990
20,structure_28.bpseq,0.622036,-15.286500
20,structure_33.bpseq,0.451932,-21.092020
20,structure_49.bpseq,0.540789,-22.950890
20,structure_5.bpseq,0.608554,-20.143630
20,structure_67.bpseq,0.495017,-21.443240
20,structure_70.bpseq,0.359163,-23.800320
20,structure_78.bpseq,0.467538,-24.359640
20,structure_87.bpseq,0.401677,-29.647060
21,structure_18.bpseq,0.500000,-19.865630
21,structure_22.bpseq,0.246150,-18.912790
21,structure_30.bpseq,0.300219,-33.165970
21,structure_36.bpseq,0.381353,-24.704870
21,structure_53.bpseq,0.236287,-21.234490
21,structure_55.bpseq,0.403485,-22.315730
21,structure_63.bpseq,0.247354,-26.484410
21,structure_72.bpseq,0.238316,-28.905810
21,structure_81.bpseq,0.298670,-30.434380
21,structure_87.bpseq,0.239475,-23.834270
22,structure_1.bpseq,0.211573,-19.608240
22,structure_27.bpseq,0.207624,-28.528500
22,structure_30.bpseq,0.232739,-32.616700
22,structure_34.bpseq,0.201997,-26.238470
22,structure_37.bpseq,0.235425,-24.552820
22,structure_51.bpseq,0.232831,-37.793300
22,structure_67.bpseq,0.246874,-42.387500
22,structure_74.bpseq,0.211573,-37.610000
22,structure_89.bpseq,0.318385,-31.067500
22,structure_92.bpseq,0.291602,-32.135500
23,structure_13.bpseq,0.440338,-15.785056
23,structure_15.bpseq,0.530492,-21.735040
23,structure_30.bpseq,0.429803,-27.175000
23,structure_44.bpseq,0.389232,-15.119493
23,structure_49.bpseq,0.422026,-28.015900
23,structure_67.bpseq,0.414235,-29.374300
23,structure_69.bpseq,0.628743,-23.021680
23,structure_87.bpseq,0.400835,-23.919970
23,structure_96.bpseq,0.477787,-29.046100
23,structure_99.bpseq,0.258374,-29.124600
24,structure_16.bpseq,0.207502,-26.750833
24,structure_18.bpseq,0.422399,-22.833700
24,structure_41.bpseq,0.221540,-24.151000
24,structure_49.bpseq,0.429531,-25.591520
24,structure_6.bpseq,0.239059,-19.588800
24,structure_62.bpseq,0.362691,-30.153190
24,structure_64.bpseq,0.333808,-24.753800
24,structure_81.bpseq,0.408431,-33.658290
24,structure_88.bpseq,0.216996,-26.679230
24,structure_99.bpseq,0.257962,-35.364340
25,structure_25.bpseq,0.514434,-21.735400
25,structure_40.bpseq,0.545144,-20.286000
25,structure_45.bpseq,0.547449,-25.626940
25,structure_67.bpseq,0.643426,-17.995000
25,structure_81.bpseq,0.429282,-23.656610
25,structure_83.bpseq,0.468620,-23.524590
25,structure_87.bpseq,0.426111,-18.949300
25,structure_9.bpseq,0.531341,-14.956500
25,structure_91.bpseq,0.371423,-26.237440
25,structure_96.bpseq,0.310796,-25.765130
26,structure_21.bpseq,0.259915,-19.196100
26,structure_30.bpseq,0.319052,-27.982430
26,structure_55.bpseq,0.331713,-23.957550
26,structure_59.bpseq,0.287166,-28.892930
26,structure_65.bpseq,0.488150,-35.494930
26,structure_71.bpseq,0.351648,-25.727790
26,structure_75.bpseq,0.203673,-30.119987
26,structure_77.bpseq,0.284955,-23.206400
26,structure_80.bpseq,0.405454,-28.440530
26,structure_93.bpseq,0.303484,-24.725480
27,structure_11.bpseq,0.494224,-21.575400
27,structure_15.bpseq,0.552168,-19.769200
27,structure_25.bpseq,0.548208,-13.911500
27,structure_35.bpseq,0.477793,-26.185760
27,structure_38.bpseq,0.487461,-21.824200
27,structure_5.bpseq,0.468588,-26.183710
27,structure_65.bpseq,0.534027,-25.182650
27,structure_77.bpseq,0.502405,-24.768500
27,structure_81.bpseq,0.566530,-23.938400
27,structure_87.bpseq,0.644812,-21.662600
28,structure_25.bpseq,0.343462,-22.224020
28,structure_34.bpseq,0.336158,-22.277860
28,structure_37.bpseq,0.440783,-17.474600
28,structure_45.bpseq,0.248409,-26.680460
28,structure_50.bpseq,0.457850,-26.511700
28,structure_6.bpseq,0.381526,-22.314870
28,structure_69.bpseq,0.320467,-32.024300
28,structure_79.bpseq,0.280978,-33.494500
28,structure_86.bpseq,0.281629,-33.688700
28,structure_97.bpseq,0.336557,-26.703670
29,structure_1.bpseq,0.564747,-17.112800
29,structure_16.bpseq,0.580950,-17.177800
29,structure_46.bpseq,0.460468,-22.461700
29,structure_5.bpseq,0.419224,-22.109360
29,structure_50.bpseq,0.221469,-26.208850
29,structure_53.bpseq,0.584005,-22.854920
29,structure_61.bpseq,0.569921,-26.057630
29,structure_69.bpseq,0.472802,-24.614530
29,structure_76.bpseq,0.415993,-22.928170
29,structure_81.bpseq,0.361210,-29.248480
30,structure_11.bpseq,0.396870,-23.048840
30,structure_16.bpseq,0.223241,-21.764520
30,structure_30.bpseq,0.345497,-26.297000
30,structure_35.bpseq,0.419989,-21.101130
30,structure_37.bpseq,0.421814,-25.715218
30,structure_54.bpseq,0.216676,-30.055080
30,structure_68.bpseq,0.231340,-25.485320
30,structure_80.bpseq,0.361522,-34.181510
30,structure_91.bpseq,0.434203,-27.383410
30,structure_94.bpseq,0.410852,-27.246970
31,structure_11.bpseq,0.505461,-21.761400
31,structure_17.bpseq,0.448550,-14.803700
31,structure_27.bpseq,0.410084,-20.704300
31,structure_30.bpseq,0.365144,-22.332200
31,structure_4.bpseq,0.423994,-15.674600
31,structure_42.bpseq,0.591836,-19.764200
31,structure_58.bpseq,0.396329,-20.546600
31,structure_69.bpseq,0.265718,-33.196691
31,structure_7.bpseq,0.587465,-20.257600
31,structure_77.bpseq,0.253520,-24.600890
32,structure_13.bpseq,0.402820,-20.219580
32,structure_2.bpseq,0.665791,-15.104210
32,structure_27.bpseq,0.629622,-18.587590
32,structure_32.bpseq,0.603647,-22.990310
32,structure_40.bpseq,0.592582,-20.273230
32,structure_50.bpseq,0.418223,-25.986400
32,structure_54.bpseq,0.498524,-24.433700
32,structure_57.bpseq,0.483613,-19.892420
32,structure_59.bpseq,0.439725,-24.934200
32,structure_69.bpseq,0.466749,-33.457400
33,structure_1.bpseq,0.434522,-17.363690
33,structure_25.bpseq,0.598245,-24.996500
33,structure_27.bpseq,0.657805,-17.339530
33,structure_34.bpseq,0.643902,-19.268690
33,structure_38.bpseq,0.384385,-27.484100
33,structure_58.bpseq,0.408789,-23.699890
33,structure_62.bpseq,0.632813,-22.470250
33,structure_64.bpseq,0.565431,-21.141490
33,structure_68.bpseq,0.228130,-25.462800
33,structure_73.bpseq,0.381069,-23.095850
34,structure_1.bpseq,0.672812,-16.899570
34,structure_16.bpseq,0.403175,-17.211000
34,structure_23.bpseq,0.440695,-20.526340
34,structure_31.bpseq,0.535643,-21.452650
34,structure_34.bpseq,0.394587,-18.826630
34,structure_60.bpseq,0.403175,-23.112200
34,structure_62.bpseq,0.518714,-29.581500
34,structure_66.bpseq,0.451813,-22.426130
34,structure_71.bpseq,0.296407,-28.880200
34,structure_8.bpseq,0.784974,-18.370110
35,structure_16.bpseq,0.434357,-22.724420
35,structure_32.bpseq,0.699725,-23.611260
35,structure_38.bpseq,0.414868,-22.331180
35,structure_48.bpseq,0.644327,-17.621113
35,structure_52.bpseq,0.753536,-25.270790
35,structure_55.bpseq,0.505123,-25.035730
35,structure_58.bpseq,0.416824,-32.110400
35,structure_67.bpseq,0.458638,-27.858300
35,structure_70.bpseq,0.336690,-23.896830
35,structure_78.bpseq,0.253949,-23.638840
36,structure_12.bpseq,0.513087,-18.734950
36,structure_17.bpseq,0.639701,-18.508190
36,structure_21.bpseq,0.504568,-22.180530
36,structure_29.bpseq,0.397938,-20.959970
36,structure_31.bpseq,0.334683,-22.896540
36,structure_33.bpseq,0.472407,-25.082310
36,structure_4.bpseq,0.519522,-13.823460
36,structure_40.bpseq,0.457378,-24.218350
36,structure_44.bpseq,0.382149,-22.965780
36,structure_48.bpseq,0.449892,-22.470610
37,structure_10.bpseq,0.578711,-18.575876
37,structure_12.bpseq,0.463914,-20.536480
37,structure_15.bpseq,0.610791,-18.031923
37,structure_21.bpseq,0.388888,-25.081390
37,structure_36.bpseq,0.457186,-29.653800
37,structure_38.bpseq,0.519501,-26.806380
37,structure_45.bpseq,0.506021,-23.023720
37,structure_49.bpseq,0.434643,-29.009000
