subfolder,candidate_file,mcc_norm,energy
13,structure_7.bpseq,0.470356,-11.739960
14,structure_1.bpseq,0.630999,-4.806750
14,structure_10.bpseq,0.662169,-10.831190
14,structure_12.bpseq,0.834225,-15.469450
14,structure_14.bpseq,0.818331,-13.605779
14,structure_17.bpseq,0.395139,-12.783347
14,structure_20.bpseq,0.575032,-14.816130
14,structure_22.bpseq,0.225648,-11.822940
14,structure_25.bpseq,0.432755,-19.303450
14,structure_5.bpseq,0.858907,-10.141400
14,structure_8.bpseq,0.373306,-10.041950
15,structure_1.bpseq,0.745677,-5.382340
15,structure_10.bpseq,0.594424,-8.132420
15,structure_12.bpseq,0.605946,-11.451621
15,structure_15.bpseq,0.665635,-13.237510
15,structure_16.bpseq,0.634850,-12.405070
15,structure_17.bpseq,0.587093,-14.794310
15,structure_20.bpseq,0.421311,-14.811380
15,structure_3.bpseq,0.824596,-8.644730
15,structure_6.bpseq,0.617564,-10.882014
15,structure_8.bpseq,0.733737,-9.488320
16,structure_10.bpseq,0.638144,-10.344450
16,structure_11.bpseq,0.483628,-12.420752
16,structure_13.bpseq,0.513074,-16.449380
16,structure_16.bpseq,0.498465,-14.041700
16,structure_18.bpseq,0.219458,-13.143101
16,structure_2.bpseq,0.787340,-7.517740
16,structure_20.bpseq,0.483254,-17.566550
16,structure_4.bpseq,0.408488,-9.476650
16,structure_6.bpseq,0.651852,-9.317270
16,structure_8.bpseq,0.430940,-14.051130
17,structure_1.bpseq,0.664013,-6.100540
17,structure_11.bpseq,0.616401,-9.027350
17,structure_13.bpseq,0.670419,-15.271570
17,structure_15.bpseq,0.374690,-13.197430
17,structure_18.bpseq,0.727064,-9.295890
17,structure_20.bpseq,0.458637,-16.249400
17,structure_22.bpseq,0.449519,-18.117520
17,structure_4.bpseq,0.436385,-9.955760
17,structure_6.bpseq,0.616401,-9.247920
17,structure_8.bpseq,0.645996,-8.571599
18,structure_12.bpseq,0.609940,-13.187774
18,structure_17.bpseq,0.359525,-16.089670
18,structure_2.bpseq,0.508740,-7.377040
18,structure_20.bpseq,0.334229,-17.992910
18,structure_23.bpseq,0.363325,-15.198800
18,structure_25.bpseq,0.387667,-19.772270
18,structure_27.bpseq,0.641018,-17.594590
18,structure_5.bpseq,0.688406,-9.237190
18,structure_7.bpseq,0.362775,-11.007590
18,structure_9.bpseq,0.470209,-9.345170
19,structure_1.bpseq,0.525961,-7.662300
19,structure_12.bpseq,0.779992,-7.428900
19,structure_14.bpseq,0.487186,-12.526400
19,structure_16.bpseq,0.551865,-12.696700
19,structure_22.bpseq,0.592584,-22.345250
19,structure_27.bpseq,0.574324,-12.743190
19,structure_29.bpseq,0.717608,-20.627330
19,structure_4.bpseq,0.560314,-7.154300
19,structure_6.bpseq,0.362675,-8.071600
19,structure_8.bpseq,0.390056,-9.882830
20,structure_1.bpseq,0.539545,-8.205750
20,structure_10.bpseq,0.347576,-12.116762
20,structure_12.bpseq,0.326884,-11.521032
20,structure_13.bpseq,0.582923,-14.306990
20,structure_14.bpseq,0.448440,-14.175300
20,structure_16.bpseq,0.464821,-15.467380
20,structure_17.bpseq,0.418350,-15.465460
20,structure_4.bpseq,0.611485,-7.899270
20,structure_6.bpseq,0.301960,-12.042738
20,structure_8.bpseq,0.391339,-12.319326
21,structure_10.bpseq,0.630926,-7.790140
21,structure_12.bpseq,0.487507,-16.085250
21,structure_14.bpseq,0.383864,-13.790280
21,structure_16.bpseq,0.500765,-12.590210
21,structure_19.bpseq,0.414125,-10.279690
21,structure_21.bpseq,0.191655,-14.059510
21,structure_23.bpseq,0.181212,-15.944050
21,structure_3.bpseq,0.411433,-11.248040
21,structure_5.bpseq,0.575132,-10.820940
21,structure_7.bpseq,0.516364,-8.004220
22,structure_14.bpseq,0.619599,-13.315361
22,structure_17.bpseq,0.555709,-18.279040
22,structure_19.bpseq,0.555455,-11.571763
22,structure_21.bpseq,0.623207,-14.031590
22,structure_25.bpseq,0.606135,-15.238390
22,structure_28.bpseq,0.706474,-12.155652
22,structure_31.bpseq,0.279427,-21.595730
22,structure_4.bpseq,0.833643,-13.599770
22,structure_7.bpseq,0.555709,-15.090700
22,structure_9.bpseq,0.635701,-11.464817
23,structure_1.bpseq,0.740453,-5.048560
23,structure_11.bpseq,0.140418,-13.718300
23,structure_13.bpseq,0.624653,-13.694490
23,structure_15.bpseq,0.422894,-9.329690
23,structure_17.bpseq,0.192711,-13.119540
23,structure_19.bpseq,0.650512,-15.189690
23,structure_21.bpseq,0.147668,-19.853530
23,structure_3.bpseq,0.628180,-9.705946
23,structure_5.bpseq,0.603551,-6.453510
23,structure_8.bpseq,0.204032,-9.195740
24,structure_1.bpseq,0.570492,-9.451760
24,structure_11.bpseq,0.665567,-13.391310
24,structure_14.bpseq,0.167140,-9.724930
24,structure_16.bpseq,0.660203,-15.332870
24,structure_17.bpseq,0.439807,-11.233420
24,structure_19.bpseq,0.395413,-15.827240
24,structure_2.bpseq,0.971405,-9.689770
24,structure_4.bpseq,0.617358,-7.371038
24,structure_7.bpseq,0.769737,-13.498230
24,structure_9.bpseq,0.659064,-10.231020
25,structure_1.bpseq,0.903177,-9.882320
25,structure_10.bpseq,0.707472,-13.719890
25,structure_12.bpseq,0.616806,-16.045140
25,structure_14.bpseq,0.578293,-16.176180
25,structure_18.bpseq,0.595579,-14.755810
25,structure_20.bpseq,0.184937,-12.108370
25,structure_23.bpseq,0.213701,-15.834280
25,structure_4.bpseq,0.484544,-11.397980
25,structure_6.bpseq,0.386946,-13.416170
25,structure_8.bpseq,0.610979,-9.770680
26,structure_1.bpseq,0.946905,-6.657680
26,structure_11.bpseq,0.608333,-11.480100
26,structure_13.bpseq,0.663636,-10.026570
26,structure_15.bpseq,0.656084,-13.283030
26,structure_17.bpseq,0.632831,-12.132780
26,structure_19.bpseq,0.591377,-16.990280
26,structure_21.bpseq,0.723485,-11.677680
26,structure_23.bpseq,0.308943,-16.540080
26,structure_6.bpseq,0.835338,-10.706160
26,structure_9.bpseq,0.647479,-10.636190
27,structure_1.bpseq,0.716538,-8.780620
27,structure_10.bpseq,0.666020,-13.843260
27,structure_13.bpseq,0.608032,-10.461230
27,structure_15.bpseq,0.603449,-18.143110
27,structure_17.bpseq,0.559331,-21.875780
27,structure_19.bpseq,0.455963,-17.492395
27,structure_22.bpseq,0.469295,-22.199720
27,structure_3.bpseq,0.847821,-6.871240
27,structure_5.bpseq,0.467949,-14.768080
27,structure_8.bpseq,0.639591,-12.353930
28,structure_11.bpseq,0.447514,-7.599078
28,structure_13.bpseq,0.583907,-10.625560
28,structure_15.bpseq,0.382745,-15.040880
28,structure_17.bpseq,0.654497,-5.339810
28,structure_19.bpseq,0.462005,-15.964470
28,structure_21.bpseq,0.228262,-15.412090
28,structure_23.bpseq,0.469295,-17.678590
28,structure_3.bpseq,0.516364,-12.281150
28,structure_6.bpseq,0.393682,-12.519170
28,structure_8.bpseq,0.707586,-10.797870
29,structure_11.bpseq,0.631422,-13.529650
29,structure_13.bpseq,0.216824,-12.241660
29,structure_18.bpseq,0.376521,-18.197170
29,structure_2.bpseq,0.694745,-10.918720
29,structure_20.bpseq,0.336361,-20.397070
29,structure_22.bpseq,0.149370,-16.123590
29,structure_24.bpseq,0.390891,-24.223070
29,structure_5.bpseq,0.570076,-14.942020
29,structure_7.bpseq,0.410532,-15.624870
29,structure_9.bpseq,0.370685,-13.270870
30,structure_1.bpseq,0.450346,-6.146990
30,structure_11.bpseq,0.526005,-19.536090
30,structure_13.bpseq,0.176502,-17.740260
30,structure_14.bpseq,0.469584,-18.476490
30,structure_15.bpseq,0.359800,-10.603540
30,structure_16.bpseq,0.359512,-18.886690
30,structure_17.bpseq,0.418049,-17.985790
30,structure_3.bpseq,0.605465,-15.079000
30,structure_5.bpseq,0.441922,-9.395430
30,structure_8.bpseq,0.563538,-14.514270
31,structure_1.bpseq,0.726202,-8.682990
31,structure_12.bpseq,0.533224,-9.958350
31,structure_16.bpseq,0.533224,-10.353260
31,structure_19.bpseq,0.525397,-14.601280
31,structure_21.bpseq,0.451205,-16.310440
31,structure_23.bpseq,0.451819,-16.499520
31,structure_26.bpseq,0.533224,-15.144840
31,structure_29.bpseq,0.328924,-19.449280
31,structure_6.bpseq,0.886390,-8.490770
